,Date,CloseSharePrice,model,office,candidate,win_prob
0,8/24/2020 12:00:00 AM,0.03,PredictIt,P,Harris,0.022900763358778622
1,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007633587786259542
2,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007633587786259542
3,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007633587786259542
4,8/24/2020 12:00:00 AM,0.6,PredictIt,P,Biden,0.4580152671755725
5,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007633587786259542
6,8/24/2020 12:00:00 AM,0.02,PredictIt,P,Pence,0.015267175572519083
7,8/24/2020 12:00:00 AM,0.44,PredictIt,P,Trump,0.33587786259541985
8,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Gillibrand,0.007633587786259542
9,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Cuomo,0.007633587786259542
10,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Cuban,0.007633587786259542
11,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Zuckerberg,0.007633587786259542
12,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Klobuchar,0.007633587786259542
13,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Haley,0.007633587786259542
14,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Ryan,0.007633587786259542
15,8/24/2020 12:00:00 AM,0.01,PredictIt,P,O'Rourke,0.007633587786259542
16,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Brown,0.007633587786259542
17,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Bloomberg,0.007633587786259542
18,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Yang,0.007633587786259542
19,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Buttigieg,0.007633587786259542
20,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Gabbard,0.007633587786259542
21,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Clinton,0.007633587786259542
22,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Steyer,0.007633587786259542
23,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Jorgensen,0.007633587786259542
24,8/24/2020 12:00:00 AM,0.01,PredictIt,P,West,0.007633587786259542
25,8/24/2020 12:00:00 AM,0.01,PredictIt,P,Hawkins,0.007633587786259542
26,8/25/2020 12:00:00 AM,0.03,PredictIt,P,Harris,0.022900763358778622
27,8/25/2020 12:00:00 AM,0.01,PredictIt,P,Warren,0.007633587786259542
28,8/25/2020 12:00:00 AM,0.01,PredictIt,P,Booker,0.007633587786259542
29,8/25/2020 12:00:00 AM,0.01,PredictIt,P,Kasich,0.007633587786259542
30,8/25/2020 12:00:00 AM,0.59,PredictIt,P,Biden,0.45038167938931295
31,8/25/2020 12:00:00 AM,0.01,PredictIt,P,Sanders,0.007633587786259542
32,8/25/2020 12:00:00 AM,0.01,PredictIt,P,Pence,0.007633587786259542
33,8/25/2020 12:00:00 AM,0.45,PredictIt,P,Trump,0.3435114503816794
