date,model,office,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-03-01,economist,P,D,Biden,0.5589999999999999,,,0.527
2020-03-01,economist,P,R,Trump,0.436,,,0.473
2020-03-02,economist,P,D,Biden,0.573,,,0.531
2020-03-02,economist,P,R,Trump,0.423,,,0.469
2020-03-03,economist,P,D,Biden,0.578,,,0.532
2020-03-03,economist,P,R,Trump,0.418,,,0.46799999999999997
2020-03-04,economist,P,D,Biden,0.5710000000000001,,,0.528
2020-03-04,economist,P,R,Trump,0.425,,,0.47200000000000003
2020-03-05,economist,P,D,Biden,0.58,,,0.532
2020-03-05,economist,P,R,Trump,0.415,,,0.46799999999999997
2020-03-06,economist,P,D,Biden,0.586,,,0.531
2020-03-06,economist,P,R,Trump,0.409,,,0.469
2020-03-07,economist,P,D,Biden,0.589,,,0.53
2020-03-07,economist,P,R,Trump,0.40700000000000003,,,0.47
2020-03-08,economist,P,D,Biden,0.517,,,0.53
2020-03-08,economist,P,R,Trump,0.478,,,0.47
2020-03-09,economist,P,D,Biden,0.516,,,0.531
2020-03-09,economist,P,R,Trump,0.48,,,0.469
2020-03-10,economist,P,D,Biden,0.49200000000000005,,,0.528
2020-03-10,economist,P,R,Trump,0.503,,,0.47200000000000003
2020-03-11,economist,P,D,Biden,0.474,,,0.527
2020-03-11,economist,P,R,Trump,0.522,,,0.473
2020-03-12,economist,P,D,Biden,0.47100000000000003,,,0.526
2020-03-12,economist,P,R,Trump,0.525,,,0.474
2020-03-13,economist,P,D,Biden,0.486,,,0.528
2020-03-13,economist,P,R,Trump,0.51,,,0.47200000000000003
2020-03-14,economist,P,D,Biden,0.496,,,0.527
2020-03-14,economist,P,R,Trump,0.5,,,0.473
2020-03-15,economist,P,D,Biden,0.499,,,0.528
2020-03-15,economist,P,R,Trump,0.496,,,0.47200000000000003
2020-03-16,economist,P,D,Biden,0.499,,,0.527
2020-03-16,economist,P,R,Trump,0.496,,,0.473
2020-03-17,economist,P,D,Biden,0.512,,,0.531
2020-03-17,economist,P,R,Trump,0.484,,,0.469
2020-03-18,economist,P,D,Biden,0.517,,,0.53
2020-03-18,economist,P,R,Trump,0.479,,,0.47
2020-03-19,economist,P,D,Biden,0.52,,,0.528
2020-03-19,economist,P,R,Trump,0.475,,,0.47200000000000003
2020-03-20,economist,P,D,Biden,0.511,,,0.528
2020-03-20,economist,P,R,Trump,0.484,,,0.47200000000000003
2020-03-21,economist,P,D,Biden,0.513,,,0.53
2020-03-21,economist,P,R,Trump,0.48200000000000004,,,0.47
2020-03-22,economist,P,D,Biden,0.504,,,0.529
2020-03-22,economist,P,R,Trump,0.491,,,0.47100000000000003
2020-03-23,economist,P,D,Biden,0.509,,,0.529
2020-03-23,economist,P,R,Trump,0.486,,,0.47100000000000003
2020-03-24,economist,P,D,Biden,0.49200000000000005,,,0.529
