date,model,office,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-11-03,fivethirtyeight-polls-plus,P,D,Biden,0.8916,,,0.5405204734272131
2020-11-03,fivethirtyeight-polls-plus,P,R,Trump,0.1039,,,0.4594795265727869
2020-11-02,fivethirtyeight-polls-plus,P,D,Biden,0.8932,,,0.5405204734272131
2020-11-02,fivethirtyeight-polls-plus,P,R,Trump,0.102675,,,0.4594795265727869
2020-11-01,fivethirtyeight-polls-plus,P,D,Biden,0.892825,,,0.5393630260640436
2020-11-01,fivethirtyeight-polls-plus,P,R,Trump,0.10285,,,0.4606369739359563
2020-10-31,fivethirtyeight-polls-plus,P,D,Biden,0.8883,,,0.5394797853828188
2020-10-31,fivethirtyeight-polls-plus,P,R,Trump,0.105625,,,0.4605202146171811
2020-10-30,fivethirtyeight-polls-plus,P,D,Biden,0.8958,,,0.5396341343026303
2020-10-30,fivethirtyeight-polls-plus,P,R,Trump,0.099625,,,0.46036586569736976
2020-10-29,fivethirtyeight-polls-plus,P,D,Biden,0.886725,,,0.5401501926597208
2020-10-29,fivethirtyeight-polls-plus,P,R,Trump,0.108975,,,0.4598498073402792
2020-10-28,fivethirtyeight-polls-plus,P,D,Biden,0.88265,,,0.5395815405030612
2020-10-28,fivethirtyeight-polls-plus,P,R,Trump,0.112575,,,0.4604184594969388
2020-10-27,fivethirtyeight-polls-plus,P,D,Biden,0.875525,,,0.5399423502135918
2020-10-27,fivethirtyeight-polls-plus,P,R,Trump,0.1189,,,0.4600576497864082
2020-10-26,fivethirtyeight-polls-plus,P,D,Biden,0.870825,,,0.5400581172502105
2020-10-26,fivethirtyeight-polls-plus,P,R,Trump,0.12355,,,0.45994188274978953
2020-10-25,fivethirtyeight-polls-plus,P,D,Biden,0.871125,,,0.5402085011643315
2020-10-25,fivethirtyeight-polls-plus,P,R,Trump,0.123075,,,0.4597914988356685
2020-10-24,fivethirtyeight-polls-plus,P,D,Biden,0.864925,,,0.5400501194247963
2020-10-24,fivethirtyeight-polls-plus,P,R,Trump,0.1296,,,0.4599498805752037
2020-10-23,fivethirtyeight-polls-plus,P,D,Biden,0.8688,,,0.5410121695671799
2020-10-23,fivethirtyeight-polls-plus,P,R,Trump,0.1251,,,0.4589878304328201
2020-10-22,fivethirtyeight-polls-plus,P,D,Biden,0.872325,,,0.5413323146128592
2020-10-22,fivethirtyeight-polls-plus,P,R,Trump,0.1219,,,0.4586676853871408
2020-10-21,fivethirtyeight-polls-plus,P,D,Biden,0.8666,,,0.5412138904878823
2020-10-21,fivethirtyeight-polls-plus,P,R,Trump,0.127775,,,0.4587861095121178
2020-10-20,fivethirtyeight-polls-plus,P,D,Biden,0.870675,,,0.5415918637064494
2020-10-20,fivethirtyeight-polls-plus,P,R,Trump,0.12485,,,0.45840813629355065
2020-10-19,fivethirtyeight-polls-plus,P,D,Biden,0.875,,,0.5425256130716516
2020-10-19,fivethirtyeight-polls-plus,P,R,Trump,0.120425,,,0.4574743869283484
2020-10-18,fivethirtyeight-polls-plus,P,D,Biden,0.87355,,,0.5425172789103522
2020-10-18,fivethirtyeight-polls-plus,P,R,Trump,0.121775,,,0.4574827210896478
2020-10-17,fivethirtyeight-polls-plus,P,D,Biden,0.87365,,,0.5424909388249288
2020-10-17,fivethirtyeight-polls-plus,P,R,Trump,0.12235,,,0.45750906117507123
2020-10-16,fivethirtyeight-polls-plus,P,D,Biden,0.8677,,,0.5420360526753115
2020-10-16,fivethirtyeight-polls-plus,P,R,Trump,0.129225,,,0.4579639473246885
2020-10-15,fivethirtyeight-polls-plus,P,D,Biden,0.867025,,,0.5419906240132926
2020-10-15,fivethirtyeight-polls-plus,P,R,Trump,0.1295,,,0.45800937598670743
2020-10-14,fivethirtyeight-polls-plus,P,D,Biden,0.8657,,,0.5415275599003879
2020-10-14,fivethirtyeight-polls-plus,P,R,Trump,0.130775,,,0.4584724400996121
2020-10-13,fivethirtyeight-polls-plus,P,D,Biden,0.866625,,,0.5418956712351628
