date,model,office,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-11-02,pollyvote-experts,P,D,Biden,,,,0.534
2020-10-23,pollyvote-experts,P,D,Biden,,,,0.526
2020-10-12,pollyvote-experts,P,D,Biden,,,,0.536
2020-10-09,pollyvote-experts,P,D,Biden,,,,0.537
2020-09-18,pollyvote-experts,P,D,Biden,,,,0.532
2020-08-22,pollyvote-experts,P,D,Biden,,,,0.532
2020-07-24,pollyvote-experts,P,D,Biden,,,,0.55
2020-06-22,pollyvote-experts,P,D,Biden,,,,0.5379999999999999
2020-05-19,pollyvote-experts,P,D,Biden,,,,0.522
2020-04-20,pollyvote-experts,P,D,Biden,,,,0.523
2020-11-02,pollyvote-experts,P,R,Trump,,,,0.466
2020-10-23,pollyvote-experts,P,R,Trump,,,,0.474
2020-10-12,pollyvote-experts,P,R,Trump,,,,0.46399999999999997
2020-10-09,pollyvote-experts,P,R,Trump,,,,0.46299999999999997
2020-09-18,pollyvote-experts,P,R,Trump,,,,0.46799999999999997
2020-08-22,pollyvote-experts,P,R,Trump,,,,0.46799999999999997
2020-07-24,pollyvote-experts,P,R,Trump,,,,0.45
2020-06-22,pollyvote-experts,P,R,Trump,,,,0.462
2020-05-19,pollyvote-experts,P,R,Trump,,,,0.478
2020-04-20,pollyvote-experts,P,R,Trump,,,,0.47700000000000004
