state,p_decisive_vote,p_decisive_vote_label,p_tipping_point,dem_margin,dem_margin_low,dem_margin_high,dem_win_prob,dem_margin_2016
PA,1.1426311843763058e-7,1 in 9 million,0.408875,6,-1,14,95,-0.8
WI,6.819400915138889e-8,1 in 15 million,0.0946125,8,0,16,98,-0.8
NV,6.463005500894102e-8,1 in 15 million,0.0333875,7,-1,15,95,2.6
NH,5.7864807511034793e-8,1 in 17 million,0.0254375,9,1,17,99,0.4
MI,4.847816495423635e-8,1 in 21 million,0.0843125,8,1,16,98,-0.2
MN,3.486602036887627e-8,1 in 29 million,0.0441625,9,1,17,99,1.7
AZ,3.447307396564315e-8,1 in 29 million,0.048625,2,-5,10,73,-3.8
FL,2.6885085560534468e-8,1 in 37 million,0.108125,3,-4,11,80,-1.2
NM,2.6243632319319118e-8,1 in 38 million,0.0382125,13,4,21,100,9.3
GA,2.1226355483472988e-8,1 in 47 million,0.0299625,1,-7,9,58,-5.3
NC,2.0196661288618367e-8,1 in 50 million,0.036825,2,-6,10,70,-3.8
VA,1.2801524241179741e-8,1 in 78 million,0.0171,12,3,20,100,5.7
TX,9.644816995050063e-9,1 in 104 million,0.0188,-2,-10,6,30,-9.4
ME,8.773299352440989e-9,1 in 114 million,2.625e-4,13,6,21,100,3.2
OH,4.977984378849596e-9,1 in 201 million,5.75e-4,-1,-8,7,44,-8.5
IA,4.339892817573703e-9,1 in 230 million,0.00145,-0,-8,7,45,-10.1
CO,4.0741900851546475e-09,1 in 245 million,0.0089625,12,4,20,100,5.4
AK,3.5116058618573842e-9,1 in 285 million,2.5e-5,-7,-16,1,5,-16.8
IL,1.4716833140684356e-9,1 in 679 million,1.25e-4,19,10,27,100,18
RI,1.158940703563222e-9,1 in 863 million,0,25,16,34,100,16.6
NJ,1.138343271976355e-9,1 in 878 million,1.5e-4,20,11,28,100,14.6
OR,1.0501810753867052e-9,1 in 952 million,0,18,10,27,100,12.3
MT,5.952506707379167e-10,1 in 2 billion,0,-9,-16,-1,2,-22.2
DE,5.68388422581572e-10,1 in 2 billion,1.25e-5,22,13,30,100,12
CT,3.8376943741145423e-10,1 in 3 billion,0,24,16,33,100,14.3
SC,2.98618911001215e-10,1 in 3 billion,0,-8,-16,-0,2,-14.9
MS,2.710800176248805e-10,1 in 4 billion,0,-12,-21,-4,0,-18.2
WA,2.418599227056084e-10,1 in 4 billion,0,25,16,33,100,17.6
HI,1.9880522099715937e-10,1 in 5 billion,0,37,29,45,100,34.9
MD,1.7040272154725146e-10,1 in 6 billion,0,32,23,40,100,28
NY,1.647334810116741e-10,1 in 6 billion,0,29,21,37,100,23.5
MO,1.6242632954781372e-10,1 in 6 billion,0,-9,-17,-1,2,-19.6
KS,1.2115923793510785e-10,1 in 8 billion,0,-13,-21,-5,0,-22.2
SD,1.1622838919468134e-10,1 in 9 billion,0,-18,-27,-9,0,-31.9
LA,1.1460381887172079e-10,1 in 9 billion,0,-14,-23,-6,0,-20.3
NE,1.0976520524950999e-10,1 in 9 billion,0,-17,-26,-7,0,-27.1
UT,8.965403283250517e-11,1 in 11 billion,0,-17,-25,-8,0,-24.8
IN,7.49112428651057e-11,1 in 13 billion,0,-14,-21,-5,0,-20.2
TN,6.657067215226002e-11,1 in 15 billion,0,-18,-26,-9,0,-27.2
CA,6.381861344635886e-11,1 in 16 billion,0,35,27,42,100,32.3
MA,4.467334872958738e-11,1 in 22 billion,0,36,28,43,100,29.3
VT,3.3639872827252665e-11,1 in 30 billion,0,37,28,44,100,30.4
ND,3.1929297194027654e-11,1 in 31 billion,0,-25,-33,-17,0,-39.6
AR,2.1952724210810205e-11,1 in 46 billion,0,-23,-31,-14,0,-28.6
AL,2.1901924510302695e-11,1 in 46 billion,0,-20,-28,-12,0,-28.7
ID,1.807205031407957e-11,1 in 55 billion,0,-26,-35,-17,0,-36.6
KY,1.6237986886606122e-11,1 in 62 billion,0,-21,-29,-13,0,-31.3
OK,1.2592976835548608e-11,1 in 79 billion,0,-27,-35,-19,0,-38.6
WV,7.531030157789493e-12,1 in 133 billion,0,-29,-37,-21,0,-44.3
WY,6.44036360295029e-12,1 in 155 billion,0,-39,-46,-31,0,-51.4
DC,4.138353761172409e-15,1 in 242 trillion,0,91,89,93,100,91.4
