state,p_decisive_vote
PA,1.1426311843763058e-7
WI,6.819400915138889e-8
NV,6.463005500894102e-8
NH,5.7864807511034793e-8
MI,4.847816495423635e-8
MN,3.486602036887627e-8
AZ,3.447307396564315e-8
FL,2.6885085560534468e-8
NM,2.6243632319319118e-8
GA,2.1226355483472988e-8
NC,2.0196661288618367e-8
VA,1.2801524241179741e-8
TX,9.644816995050063e-9
ME,8.773299352440989e-9
OH,4.977984378849596e-9
IA,4.339892817573703e-9
CO,4.0741900851546475e-09
AK,3.5116058618573842e-9
IL,1.4716833140684356e-9
RI,1.158940703563222e-9
NJ,1.138343271976355e-9
OR,1.0501810753867052e-9
MT,5.952506707379167e-10
DE,5.68388422581572e-10
CT,3.8376943741145423e-10
SC,2.98618911001215e-10
MS,2.710800176248805e-10
WA,2.418599227056084e-10
HI,1.9880522099715937e-10
MD,1.7040272154725146e-10
NY,1.647334810116741e-10
MO,1.6242632954781372e-10
KS,1.2115923793510785e-10
SD,1.1622838919468134e-10
LA,1.1460381887172079e-10
NE,1.0976520524950999e-10
UT,8.965403283250517e-11
IN,7.49112428651057e-11
TN,6.657067215226002e-11
CA,6.381861344635886e-11
MA,4.467334872958738e-11
VT,3.3639872827252665e-11
ND,3.1929297194027654e-11
AR,2.1952724210810205e-11
AL,2.1901924510302695e-11
ID,1.807205031407957e-11
KY,1.6237986886606122e-11
OK,1.2592976835548608e-11
WV,7.531030157789493e-12
WY,6.44036360295029e-12
DC,4.138353761172409e-15
