date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-11-03,economist,P,AK,D,Biden,0.050925,,,0.464041750075
2020-11-03,economist,P,AK,R,Trump,0.949075,,,0.535958249925
2020-11-03,economist,P,AL,D,Biden,0.0,,,0.40146664395000004
2020-11-03,economist,P,AL,R,Trump,1.0,,,0.5985333560499999
2020-11-03,economist,P,AR,D,Biden,0.0,,,0.385301879925
2020-11-03,economist,P,AR,R,Trump,1.0,,,0.614698120075
2020-11-03,economist,P,AZ,D,Biden,0.7315125,,,0.5123716402624999
2020-11-03,economist,P,AZ,R,Trump,0.2684875,,,0.48762835973750007
2020-11-03,economist,P,CA,D,Biden,1.0,,,0.6747757203
2020-11-03,economist,P,CA,R,Trump,0.0,,,0.3252242797
2020-11-03,economist,P,CO,D,Biden,0.998675,,,0.5620393340125
2020-11-03,economist,P,CO,R,Trump,0.0013250000000000206,,,0.43796066598750005
2020-11-03,economist,P,CT,D,Biden,1.0,,,0.622049096725
2020-11-03,economist,P,CT,R,Trump,0.0,,,0.377950903275
2020-11-03,economist,P,DC,D,Biden,1.0,,,0.955390923575
2020-11-03,economist,P,DC,R,Trump,0.0,,,0.044609076425000005
2020-11-03,economist,P,DE,D,Biden,1.0,,,0.6087021421125
2020-11-03,economist,P,DE,R,Trump,0.0,,,0.39129785788750004
2020-11-03,economist,P,FL,D,Biden,0.799775,,,0.5166282461375
2020-11-03,economist,P,FL,R,Trump,0.200225,,,0.4833717538625
2020-11-03,economist,P,GA,D,Biden,0.5829875,,,0.504304699975
2020-11-03,economist,P,GA,R,Trump,0.4170125,,,0.49569530002499995
2020-11-03,economist,P,HI,D,Biden,1.0,,,0.6865357228375
2020-11-03,economist,P,HI,R,Trump,0.0,,,0.3134642771625
2020-11-03,economist,P,IA,D,Biden,0.450525,,,0.49750980627499997
2020-11-03,economist,P,IA,R,Trump,0.5494749999999999,,,0.502490193725
2020-11-03,economist,P,ID,D,Biden,0.0,,,0.36989920405
2020-11-03,economist,P,ID,R,Trump,1.0,,,0.63010079595
2020-11-03,economist,P,IL,D,Biden,0.9999875,,,0.5931551462125
2020-11-03,economist,P,IL,R,Trump,1.2499999999970868e-05,,,0.4068448537875
2020-11-03,economist,P,IN,D,Biden,0.00075,,,0.43229440713749995
2020-11-03,economist,P,IN,R,Trump,0.99925,,,0.5677055928625001
2020-11-03,economist,P,KS,D,Biden,0.00135,,,0.4372430317
2020-11-03,economist,P,KS,R,Trump,0.99865,,,0.5627569683
2020-11-03,economist,P,KY,D,Biden,0.0,,,0.39570531932499997
2020-11-03,economist,P,KY,R,Trump,1.0,,,0.604294680675
