date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-11-03,pec,P,AK,D,BIDEN,0.02,-0.07,,
2020-11-03,pec,P,AK,R,TRUMP,0.98,0.07,,
2020-11-03,pec,P,AL,D,BIDEN,0.0,-0.196,,
2020-11-03,pec,P,AL,R,TRUMP,1.0,0.196,,
2020-11-03,pec,P,AR,D,BIDEN,0.0,-0.245,,
2020-11-03,pec,P,AR,R,TRUMP,1.0,0.245,,
2020-11-03,pec,P,AZ,D,BIDEN,0.8,0.03,,
2020-11-03,pec,P,AZ,R,TRUMP,0.2,-0.03,,
2020-11-03,pec,P,CA,D,BIDEN,1.0,0.2885,,
2020-11-03,pec,P,CA,R,TRUMP,0.0,-0.2885,,
2020-11-03,pec,P,CO,D,BIDEN,1.0,0.12,,
2020-11-03,pec,P,CO,R,TRUMP,0.0,-0.12,,
2020-11-03,pec,P,CT,D,BIDEN,1.0,0.25,,
2020-11-03,pec,P,CT,R,TRUMP,0.0,-0.25,,
2020-11-03,pec,P,DC,D,BIDEN,1.0,0.868,,
2020-11-03,pec,P,DC,R,TRUMP,0.0,-0.868,,
2020-11-03,pec,P,DE,D,BIDEN,1.0,0.21,,
2020-11-03,pec,P,DE,R,TRUMP,0.0,-0.21,,
2020-11-03,pec,P,FL,D,BIDEN,0.81,0.03,,
2020-11-03,pec,P,FL,R,TRUMP,0.19,-0.03,,
2020-11-03,pec,P,GA,D,BIDEN,0.64,0.015,,
2020-11-03,pec,P,GA,R,TRUMP,0.36,-0.015,,
2020-11-03,pec,P,HI,D,BIDEN,1.0,0.34,,
2020-11-03,pec,P,HI,R,TRUMP,0.0,-0.34,,
2020-11-03,pec,P,IA,D,BIDEN,0.38,-0.01,,
2020-11-03,pec,P,IA,R,TRUMP,0.62,0.01,,
2020-11-03,pec,P,ID,D,BIDEN,0.0,-0.2159,,
2020-11-03,pec,P,ID,R,TRUMP,1.0,0.2159,,
2020-11-03,pec,P,IL,D,BIDEN,1.0,0.1645,,
2020-11-03,pec,P,IL,R,TRUMP,0.0,-0.1645,,
2020-11-03,pec,P,IN,D,BIDEN,0.0,-0.107,,
2020-11-03,pec,P,IN,R,TRUMP,1.0,0.107,,
2020-11-03,pec,P,KS,D,BIDEN,0.0,-0.14,,
