date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2020-11-03,pollyvote,P,MN,D,Biden,0.86,,,
2020-11-03,pollyvote,P,MN,R,Trump,0.14,,,
2020-11-03,pollyvote,P,NH,D,Biden,0.87,,,
2020-11-03,pollyvote,P,NH,R,Trump,0.13,,,
2020-11-03,pollyvote,P,ME,D,Biden,0.95,,,
2020-11-03,pollyvote,P,ME,R,Trump,0.05,,,
2020-11-03,pollyvote,P,NV,D,Biden,0.82,,,
2020-11-03,pollyvote,P,NV,R,Trump,0.18,,,
2020-11-03,pollyvote,P,CA,D,Biden,0.98,,,
2020-11-03,pollyvote,P,CA,R,Trump,0.02,,,
2020-11-03,pollyvote,P,CO,D,Biden,0.91,,,
2020-11-03,pollyvote,P,CO,R,Trump,0.09,,,
2020-11-03,pollyvote,P,CT,D,Biden,0.97,,,
2020-11-03,pollyvote,P,CT,R,Trump,0.03,,,
2020-11-03,pollyvote,P,DC,D,Biden,0.98,,,
2020-11-03,pollyvote,P,DC,R,Trump,0.02,,,
2020-11-03,pollyvote,P,DE,D,Biden,0.97,,,
2020-11-03,pollyvote,P,DE,R,Trump,0.03,,,
2020-11-03,pollyvote,P,HI,D,Biden,0.98,,,
2020-11-03,pollyvote,P,HI,R,Trump,0.02,,,
2020-11-03,pollyvote,P,IL,D,Biden,0.98,,,
2020-11-03,pollyvote,P,IL,R,Trump,0.02,,,
2020-11-03,pollyvote,P,MA,D,Biden,0.98,,,
2020-11-03,pollyvote,P,MA,R,Trump,0.02,,,
2020-11-03,pollyvote,P,MD,D,Biden,0.98,,,
2020-11-03,pollyvote,P,MD,R,Trump,0.02,,,
2020-11-03,pollyvote,P,NJ,D,Biden,0.98,,,
2020-11-03,pollyvote,P,NJ,R,Trump,0.02,,,
2020-11-03,pollyvote,P,NM,D,Biden,0.96,,,
2020-11-03,pollyvote,P,NM,R,Trump,0.04,,,
2020-11-03,pollyvote,P,NY,D,Biden,0.98,,,
2020-11-03,pollyvote,P,NY,R,Trump,0.02,,,
2020-11-03,pollyvote,P,OR,D,Biden,0.96,,,
2020-11-03,pollyvote,P,OR,R,Trump,0.04,,,
2020-11-03,pollyvote,P,RI,D,Biden,0.98,,,
2020-11-03,pollyvote,P,RI,R,Trump,0.02,,,
2020-11-03,pollyvote,P,VA,D,Biden,0.94,,,
2020-11-03,pollyvote,P,VA,R,Trump,0.06,,,
2020-11-03,pollyvote,P,VT,D,Biden,0.98,,,
2020-11-03,pollyvote,P,VT,R,Trump,0.02,,,
2020-11-03,pollyvote,P,WA,D,Biden,0.97,,,
2020-11-03,pollyvote,P,WA,R,Trump,0.03,,,
2020-11-03,pollyvote,P,MI,D,Biden,0.84,,,
2020-11-03,pollyvote,P,MI,R,Trump,0.16,,,
2020-11-03,pollyvote,P,PA,D,Biden,0.71,,,
2020-11-03,pollyvote,P,PA,R,Trump,0.29,,,
2020-11-03,pollyvote,P,AZ,D,Biden,0.61,,,
2020-11-03,pollyvote,P,AZ,R,Trump,0.39,,,
2020-11-03,pollyvote,P,FL,D,Biden,0.61,,,
2020-11-03,pollyvote,P,FL,R,Trump,0.39,,,
2020-11-03,pollyvote,P,NC,D,Biden,0.58,,,
2020-11-03,pollyvote,P,NC,R,Trump,0.42,,,
2020-11-03,pollyvote,P,WI,D,Biden,0.83,,,
2020-11-03,pollyvote,P,WI,R,Trump,0.17,,,
2020-11-03,pollyvote,P,GA,D,Biden,0.61,,,
2020-11-03,pollyvote,P,GA,R,Trump,0.46,,,
2020-11-03,pollyvote,P,IA,D,Biden,0.34,,,
2020-11-03,pollyvote,P,IA,R,Trump,0.66,,,
2020-11-03,pollyvote,P,OH,D,Biden,0.35,,,
2020-11-03,pollyvote,P,OH,R,Trump,0.65,,,
2020-11-03,pollyvote,P,TX,D,Biden,0.32,,,
2020-11-03,pollyvote,P,TX,R,Trump,0.68,,,
2020-11-03,pollyvote,P,AK,D,Biden,0.24,,,
2020-11-03,pollyvote,P,AK,R,Trump,0.92,,,
2020-11-03,pollyvote,P,AL,D,Biden,0.01,,,
2020-11-03,pollyvote,P,AL,R,Trump,0.99,,,
2020-11-03,pollyvote,P,AR,D,Biden,0.02,,,
2020-11-03,pollyvote,P,AR,R,Trump,0.98,,,
2020-11-03,pollyvote,P,ID,D,Biden,0.01,,,
2020-11-03,pollyvote,P,ID,R,Trump,0.99,,,
2020-11-03,pollyvote,P,IN,D,Biden,0.03,,,
2020-11-03,pollyvote,P,IN,R,Trump,0.97,,,
2020-11-03,pollyvote,P,KS,D,Biden,0.04,,,
2020-11-03,pollyvote,P,KS,R,Trump,0.96,,,
2020-11-03,pollyvote,P,KY,D,Biden,0.18,,,
2020-11-03,pollyvote,P,KY,R,Trump,0.99,,,
2020-11-03,pollyvote,P,LA,D,Biden,0.02,,,
2020-11-03,pollyvote,P,LA,R,Trump,0.98,,,
2020-11-03,pollyvote,P,MO,D,Biden,0.07,,,
2020-11-03,pollyvote,P,MO,R,Trump,0.93,,,
2020-11-03,pollyvote,P,MS,D,Biden,0.02,,,
2020-11-03,pollyvote,P,MS,R,Trump,0.98,,,
2020-11-03,pollyvote,P,MT,D,Biden,0.08,,,
2020-11-03,pollyvote,P,MT,R,Trump,0.92,,,
2020-11-03,pollyvote,P,ND,D,Biden,0.01,,,
2020-11-03,pollyvote,P,ND,R,Trump,0.99,,,
2020-11-03,pollyvote,P,NE,D,Biden,0.02,,,
