,index,candidate,date,est_diff,est_share,est_share_2p,model,office,party,prediction,state,win_prob
0,0,TRUMP,2020-10-27,,,,UVA,P,R,favored,AK,0.8
1,56,BIDEN,2020-10-27,,,,UVA,P,D,not favored,AK,0.2
2,1,TRUMP,2020-10-27,,,,UVA,P,R,safe,AL,1.0
3,57,BIDEN,2020-10-27,,,,UVA,P,D,not safe,AL,0.0
4,2,TRUMP,2020-10-27,,,,UVA,P,R,safe,AR,1.0
5,58,BIDEN,2020-10-27,,,,UVA,P,D,not safe,AR,0.0
6,3,BIDEN,2020-10-27,,,,UVA,P,D,lean,AZ,0.6
7,59,TRUMP,2020-10-27,,,,UVA,P,R,not lean,AZ,0.4
8,4,BIDEN,2020-10-27,,,,UVA,P,D,safe,CA,1.0
9,60,TRUMP,2020-10-27,,,,UVA,P,R,not safe,CA,0.0
10,61,TRUMP,2020-10-27,,,,UVA,P,R,not safe,CO,0.0
11,5,BIDEN,2020-10-27,,,,UVA,P,D,safe,CO,1.0
12,6,BIDEN,2020-10-27,,,,UVA,P,D,safe,CT,1.0
13,62,TRUMP,2020-10-27,,,,UVA,P,R,not safe,CT,0.0
14,63,TRUMP,2020-10-27,,,,UVA,P,R,not safe,DC,0.0
15,7,BIDEN,2020-10-27,,,,UVA,P,D,safe,DC,1.0
16,64,TRUMP,2020-10-27,,,,UVA,P,R,not safe,DE,0.0
17,8,BIDEN,2020-10-27,,,,UVA,P,D,safe,DE,1.0
18,9,BIDEN,2020-10-27,,,,UVA,P,D,lean,FL,0.6
19,65,TRUMP,2020-10-27,,,,UVA,P,R,not lean,FL,0.4
20,10,BIDEN,2020-10-27,,,,UVA,P,D,lean,GA,0.6
21,66,TRUMP,2020-10-27,,,,UVA,P,R,not lean,GA,0.4
22,67,TRUMP,2020-10-27,,,,UVA,P,R,not safe,HI,0.0
23,11,BIDEN,2020-10-27,,,,UVA,P,D,safe,HI,1.0
24,68,BIDEN,2020-10-27,,,,UVA,P,D,not lean,IA,0.4
25,12,TRUMP,2020-10-27,,,,UVA,P,R,lean,IA,0.6
26,13,TRUMP,2020-10-27,,,,UVA,P,R,safe,ID,1.0
27,69,BIDEN,2020-10-27,,,,UVA,P,D,not safe,ID,0.0
